,Unnamed: 0,Pvm.,Aika,Ottelu,Linkit,Tulos,Unnamed: 6,Yleisöä
207,208,,18:30,TPS  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,1 — 3,,4213
208,209,La 8.12.2018,17:00,KooKoo  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,3449
209,210,,17:00,Kärpät  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,6 — 1,,6161
210,211,,17:00,Lukko  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,6 — 3,,3036
211,212,,17:00,SaiPa  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,2 — 0,,3880
212,213,,18:30,Pelicans  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,5 — 4,VL,3350
213,214,,18:30,Sport  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,3048
214,215,Ti 11.12.2018,18:30,Pelicans  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,2 — 4,,3522
215,216,Ke 12.12.2018,18:30,HIFK  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,JA,6584
216,217,,18:30,JYP  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,3520
217,218,,18:30,KalPa  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,2531
218,219,,18:30,Kärpät  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,6 — 1,,4111
219,220,,18:30,TPS  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,,4053
220,221,Pe 14.12.2018,18:30,HIFK  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,5 — 1,,7159
221,222,,18:30,HPK  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,4 — 5,,3735
222,223,,18:30,Kärpät  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,VL,5089
223,224,,18:30,Lukko  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,3415
224,225,,18:30,SaiPa  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,2 — 7,,3186
225,226,,18:30,Sport  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,3 — 6,,3248
226,227,,18:30,Ässät  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,3607
227,228,Ti 18.12.2018,18:30,HPK  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,VL,3524
228,229,,18:30,Jukurit  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,JA,2398
229,230,,18:30,KalPa  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,2 — 5,,3130
230,231,,18:30,Kärpät  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,JA,4363
231,232,,18:30,SaiPa  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,0 — 2,,2602
232,233,,18:30,Tappara  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,4488
233,234,,18:30,Ässät  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,3625
